,precision,recall,f1-score,support
0,1.0,0.9642857142857143,0.9818181818181818,28.0
1,0.9939516129032258,0.9959595959595959,0.9949545913218971,495.0
2,0.995575221238938,0.995575221238938,0.995575221238938,452.0
3,0.9963503649635036,0.9927272727272727,0.994535519125683,275.0
4,1.0,1.0,1.0,421.0
5,0.9973684210526316,0.9895561357702349,0.9934469200524246,383.0
6,1.0,1.0,1.0,81.0
7,0.9840637450199203,1.0,0.9919678714859438,247.0
8,1.0,0.9967637540453075,0.9983792544570502,309.0
9,1.0,0.9966777408637874,0.9983361064891847,301.0
10,0.9920844327176781,1.0,0.9960264900662251,376.0
11,0.9829787234042553,1.0,0.9914163090128756,231.0
12,0.9976303317535545,0.9952718676122931,0.9964497041420118,423.0
13,0.9931662870159453,1.0,0.9965714285714286,436.0
14,1.0,0.9931972789115646,0.9965870307167235,147.0
15,1.0,1.0,1.0,118.0
16,1.0,1.0,1.0,84.0
17,1.0,0.9912280701754386,0.9955947136563876,228.0
18,0.9915254237288136,1.0,0.9957446808510638,234.0
19,1.0,0.9761904761904762,0.9879518072289156,42.0
20,0.975609756097561,0.975609756097561,0.975609756097561,82.0
21,0.9852941176470589,0.9571428571428572,0.9710144927536232,70.0
22,1.0,1.0,1.0,68.0
23,0.9893617021276596,0.9893617021276596,0.9893617021276596,94.0
24,1.0,1.0,1.0,50.0
25,0.9966442953020134,1.0,0.9983193277310924,297.0
26,0.9770992366412213,0.9922480620155039,0.9846153846153847,129.0
27,1.0,0.9387755102040817,0.968421052631579,49.0
28,1.0,0.9809523809523809,0.9903846153846154,105.0
29,0.9818181818181818,0.9818181818181818,0.9818181818181818,55.0
30,1.0,1.0,1.0,96.0
31,0.9875776397515528,1.0,0.99375,159.0
32,0.92,1.0,0.9583333333333334,46.0
33,1.0,1.0,1.0,151.0
34,1.0,0.9761904761904762,0.9879518072289156,84.0
35,0.9959839357429718,1.0,0.9979879275653923,248.0
36,1.0,1.0,1.0,69.0
37,1.0,0.9777777777777777,0.9887640449438202,45.0
38,1.0,0.9975961538461539,0.9987966305655837,416.0
39,0.9655172413793104,1.0,0.9824561403508771,56.0
40,0.9863013698630136,0.972972972972973,0.9795918367346939,74.0
41,1.0,0.8837209302325582,0.9382716049382716,43.0
42,1.0,1.0,1.0,45.0
accuracy,0.9945167049222137,0.9945167049222137,0.9945167049222137,0.9945167049222137
macro avg,0.9926953962830003,0.9886418578874139,0.9904838062571051,7842.0
weighted avg,0.9945943680955348,0.9945167049222137,0.9945000640938227,7842.0
